name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,status_polish,setup_time,solve_time,update_time,rho_updates,rho_estimate
QE226,OSQP,optimal,0.45966076850891113,21825,212.66273884921262,212.65343,282,505,4721,0,0.000664549,0.458070035,0.0,2,0.002777588762838479
QETAMACR,OSQP,solver_error,11.839890956878662,100000,86396.67179239921,86760.37,688,1088,11613,0,0.003934965,11.834758893,0.0,0,0.2081419936967528
QFFFFF80,OSQP,solver_error,7.611356973648071,100000,849882.1295703663,873147.47,854,1378,10635,0,0.002557497,7.607859694,0.0,2,0.002944615060117887
QFORPLAN,OSQP,solver_error,2.2795650959014893,100000,7453708570.043322,7456631500.0,421,582,6112,0,0.001772839,2.277111976,0.0,7,8.883432185710701
QGFRDXPN,OSQP,solver_error,2.774733781814575,100000,100211525863.06537,100790590000.0,1092,1708,3739,0,0.000654102,2.773442479,0.0,2,0.0024818274769613157
QGROW15,OSQP,optimal,0.9282107353210449,24375,-101695218.20771018,-101693640.0,645,945,7227,0,0.001072024,0.926455228,0.0,3,1e-06
QGROW22,OSQP,optimal,0.9896659851074219,17225,-149621840.13628432,-149628950.0,946,1386,10837,0,0.00150656,0.987507874,0.0,3,1e-06
QGROW7,OSQP,optimal,0.3319091796875,19275,-42799070.984454334,-42798714.0,301,441,3597,0,0.000547551,0.330798457,0.0,3,1e-06
QISRAEL,OSQP,optimal,0.6809349060058594,57875,25350123.00934732,25347838.0,142,316,3765,0,0.000601544,0.679452744,0.0,4,0.0017298588012364911
QPCBLEND,OSQP,optimal,0.001811981201171875,325,-0.0079444320020023,-0.0078425409,83,157,657,0,0.000147575,0.001365615,0.0,2,119.9405381055914
QPCBOEI1,OSQP,solver_error,2.5744130611419678,100000,11487333.102045067,11503914.0,384,735,4253,0,0.001140566,2.572845376,0.0,3,53.80621562050732
QPCBOEI2,OSQP,solver_error,0.8279058933258057,100000,7197138.080435461,8171962.3,143,309,1482,0,0.000310508,0.827301241,0.0,5,35.20236994183334
QPCSTAIR,OSQP,optimal,0.11023879051208496,3250,6203745.601802998,6204387.5,467,823,4790,0,0.001007633,0.108905967,0.0,4,14.298786440563815
QPILOTNO,OSQP,solver_error,19.398986101150513,100000,4720816.904591458,4728586.9,2172,3147,16105,0,0.006675402,19.391576044,0.0,0,0.038973372635574065
QPTEST,OSQP,optimal,0.0008027553558349609,50,4.3718750087637614,4.371875,2,4,10,0,1.5117e-05,3.9843e-05,0.0,1,1.939800316274157
QRECIPE,OSQP,optimal,0.0024878978729248047,225,-266.6141176675874,-266.616,180,271,923,0,0.000161168,0.001678493,0.0,2,0.03758877341911247
QSC205,OSQP,optimal,0.005215883255004883,550,-0.005579644962262079,-0.0058139518,203,408,785,0,0.000209103,0.004291164,0.0,2,3.852266861667263
