tau,SCS,OSQP,COSMO
37.11671819475765,1.0,1.0,0.944
37.46050032748993,1.0,1.0,0.944
37.80746663599349,1.0,1.0,0.944
38.15764661271248,1.0,1.0,0.944
38.511070023255705,1.0,1.0,0.944
38.867766908926654,1.0,1.0,0.944
39.22776758927719,1.0,1.0,0.944
39.591102664684584,1.0,1.0,0.944
39.957803018952696,1.0,1.0,0.944
40.32789982193707,1.0,1.0,0.944
40.701424532194366,1.0,1.0,0.944
41.078408899656466,1.0,1.0,0.944
41.45888496832911,1.0,1.0,0.944
41.84288507901582,1.0,1.0,0.944
42.23044187206674,1.0,1.0,0.944
42.62158829015323,1.0,1.0,0.944
43.01635758106795,1.0,1.0,0.944
43.41478330055092,1.0,1.0,0.944
43.816899315141924,1.0,1.0,0.944
44.22273980505899,1.0,1.0,0.944
44.63233926710395,1.0,1.0,0.944
45.04573251759459,1.0,1.0,0.944
45.462954695323994,1.0,1.0,0.944
45.88404126454759,1.0,1.0,0.944
46.30902801799739,1.0,1.0,0.944
46.73795107992461,1.0,1.0,0.944
47.17084690917017,1.0,1.0,0.944
47.607752302263684,1.0,1.0,0.944
48.048704396551315,1.0,1.0,0.944
48.493740673352356,1.0,1.0,0.944
48.94289896114529,1.0,1.0,0.944
49.396217438783204,1.0,1.0,0.944
49.853734638738935,1.0,1.0,0.944
50.31548945038054,1.0,1.0,0.944
50.78152112327673,1.0,1.0,0.944
51.2518692705333,1.0,1.0,0.944
51.72657387216019,1.0,1.0,0.944
52.205675278469755,1.0,1.0,0.944
52.689214213506744,1.0,1.0,0.944
53.17723177850969,1.0,1.0,0.944
53.66976945540476,1.0,1.0,0.944
54.16686911033152,1.0,1.0,0.944
54.66857299720181,1.0,1.0,0.944
55.17492376129126,1.0,1.0,0.944
55.68596444286412,1.0,1.0,0.944
56.20173848083188,1.0,1.0,0.944
56.72228971644544,1.0,1.0,0.944
57.247662397021784,1.0,1.0,0.944
57.77790117970504,1.0,1.0,0.944
58.313051135262214,1.0,1.0,0.944
58.8531577519145,1.0,1.0,0.944
59.398266939203566,1.0,1.0,0.944
59.94842503189409,1.0,1.0,0.944
60.503678793912215,1.0,1.0,0.944
61.06407542232039,1.0,1.0,0.944
61.629662551329425,1.0,1.0,0.944
62.200488256347114,1.0,1.0,0.944
62.776601058065,1.0,1.0,0.944
63.35804992658251,1.0,1.0,0.944
63.9448842855694,1.0,1.0,0.944
64.53715401646701,1.0,1.0,0.944
65.13490946272803,1.0,1.0,0.944
65.73820143409586,1.0,1.0,0.944
66.34708121092348,1.0,1.0,0.944
66.96160054853219,1.0,1.0,0.944
67.5818116816111,1.0,1.0,0.944
68.20776732865686,1.0,1.0,0.944
68.83952069645497,1.0,1.0,0.944
69.47712548460237,1.0,1.0,0.944
70.12063589007181,1.0,1.0,0.944
70.77010661181889,1.0,1.0,0.944
71.42559285543126,1.0,1.0,0.944
72.08715033782136,1.0,1.0,0.944
72.7548352919623,1.0,1.0,0.944
73.42870447166761,1.0,1.0,0.944
74.1088151564157,1.0,1.0,0.944
74.79522515621821,1.0,1.0,0.944
75.48799281653436,1.0,1.0,0.944
76.18717702322995,1.0,1.0,0.944
76.8928372075831,1.0,1.0,0.944
77.6050333513357,1.0,1.0,0.945
78.32382599179196,1.0,1.0,0.945
79.04927622696424,1.0,1.0,0.945
79.78144572076624,1.0,1.0,0.945
80.52039670825474,1.0,1.0,0.945
81.26619200091946,1.0,1.0,0.945
82.01889499202203,1.0,1.0,0.945
