tau,SCS-3.0,COSMO
10.8902296226373,0.96875,0.53875
10.991097009294972,0.96875,0.54
11.092898648952227,0.96875,0.5425
11.195643194838782,0.96875,0.5475
11.299339380332222,0.96875,0.5475
11.403996019700324,0.96875,0.55
11.509622008850323,0.96875,0.5525
11.616226326085018,0.96875,0.55625
11.723818032865985,0.96875,0.55625
11.832406274583786,0.96875,0.56
11.94200028133532,0.96875,0.56375
12.052609368708426,0.96875,0.56625
12.164242938573679,0.96875,0.56875
12.276910479883592,0.96875,0.57
12.390621569479162,0.96875,0.57125
12.505385872903908,0.96875,0.5725
12.621213145225473,0.96875,0.575
12.738113231864785,0.96875,0.57625
12.856096069432958,0.96875,0.5775
12.975171686575875,0.96875,0.5775
13.095350204826671,0.96875,0.5775
13.216641839466051,0.96875,0.57875
13.339056900390586,0.96875,0.58125
13.462605792989104,0.96875,0.585
13.587299019027098,0.96875,0.5875
13.71314717753945,0.96875,0.5875
13.840160965731316,0.96875,0.5925
13.968351179887398,0.96875,0.59625
14.09772871628967,0.96875,0.6
14.228304572143527,0.96875,0.60125
14.360089846512599,0.96875,0.6025
14.493095741262167,0.96875,0.60625
14.627333562011298,0.96875,0.60875
14.762814719093903,0.96875,0.60875
14.899550728528544,0.96875,0.6125
15.037553212997377,0.96875,0.61375
15.176833902834053,0.96875,0.61375
15.317404637020799,0.96875,0.615
15.459277364194778,0.96875,0.6175
15.602464143663688,0.96875,0.62
15.74697714643086,0.96875,0.62
15.89282865622978,0.96875,0.62
16.0400310705682,0.96875,0.62625
16.188596901781985,0.96875,0.62875
16.338538778098613,0.96875,0.6325
16.48986944471065,0.96875,0.63625
16.642601764859037,0.96875,0.63875
16.79674872092653,0.96875,0.64125
16.952323415541205,0.96875,0.64375
17.109339072690144,0.96875,0.64375
17.26780903884356,0.96875,0.645
17.42774678408919,0.96875,0.64625
17.589165903277326,0.96875,0.64875
17.75208011717635,0.96875,0.64875
17.916503273639005,0.96875,0.65
18.082449348779516,0.96875,0.65125
18.249932448161523,0.96875,0.65125
18.41896680799711,0.96875,0.65375
18.589566796356873,0.96875,0.65875
18.761746914391203,0.96875,0.66125
18.935521797562952,0.96875,0.66625
19.11090621689138,0.96875,0.67
19.287915080207778,0.96875,0.67125
19.46656343342262,0.96875,0.6725
19.646866461804457,0.96875,0.67375
19.828839491270713,0.96875,0.675
20.01249798969037,0.96875,0.67625
20.197857568198785,0.96875,0.67625
20.384933982524633,0.96875,0.67625
20.573743134329128,0.96875,0.67875
20.764301072557746,0.96875,0.68
20.95662399480433,0.96875,0.6825
21.150728248687948,0.96875,0.68375
21.346630333242445,0.96875,0.68625
21.544346900318832,0.96875,0.6875
21.7438947560008,0.96875,0.6875
21.945290862033136,0.96875,0.69
22.14855233726359,0.96875,0.69375
22.353696459097954,0.96875,0.69625
22.560740664968602,0.96875,0.69875
22.7697025538168,0.96875,0.705
22.98059988758851,0.96875,0.70625
23.193450592744288,0.96875,0.70875
23.408272761782932,0.96875,0.7125
23.625084654779464,0.96875,0.71375
23.843904700937205,0.96875,0.71625
24.06475150015424,0.96875,0.71625
24.287643824604515,0.96875,0.71875
24.512600620333387,0.96875,0.72
24.73964100886813,0.96875,0.72375
24.968784288843267,0.96875,0.7275
25.200049937640923,0.96875,0.73
25.433457613046496,0.96875,0.73125
25.669027154919505,0.96875,0.7325
25.906778586880076,0.96875,0.735
26.14673211801092,0.96875,0.735
26.388908144575105,0.96875,0.7375
26.633327251749822,0.96875,0.7375
26.88001021537606,0.96875,0.73875
27.128978003724658,0.96875,0.74
27.380251779278577,0.96875,0.7425
27.6338529005317,0.96875,0.7425
27.88980292380441,0.96875,0.7425
28.1481236050758,0.96875,0.74375
28.408836901833027,0.96875,0.745
28.671964974937698,0.96875,0.74625
28.937530190509502,0.96875,0.7475
29.205555121827466,0.96875,0.7475
29.47606255124857,0.96875,0.7525
29.749075472144405,0.96875,0.755
30.024617090855493,0.96875,0.75875
30.30271082866396,0.96875,0.76
30.583380323784333,0.96875,0.7625
30.86664943337273,0.96875,0.76875
31.15254223555488,0.96875,0.76875
31.441083031472647,0.96875,0.77125
31.732296347349763,0.96875,0.77125
32.02620693657652,0.96875,0.77375
32.32283978181379,0.96875,0.77375
32.622220097116696,0.96875,0.77375
32.924373330077685,0.96875,0.775
33.229325163989714,0.96875,0.77875
33.5371015200293,0.96875,0.78
33.84772855945981,0.96875,0.78
34.16123268585528,0.96875,0.7825
34.47764054734464,0.96875,0.7825
34.79697903887691,0.96875,0.785
35.1192753045073,0.96875,0.78625
35.44455673970434,0.96875,0.78625
35.77285099367874,0.96875,0.7875
