name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,status_polish,setup_time,solve_time,update_time,rho_updates,rho_estimate
QSHIP04S,OSQP,optimal,0.058003902435302734,700,2425181.9232431953,2424993.7,1458,1860,5908,0,0.001377185,0.026328255,0.0,1,0.012929791111407256
QSHIP08L,OSQP,optimal,0.1435699462890625,325,2375948.272913409,2376040.6,4283,5061,86075,0,0.017835841,0.122420129,0.0,0,0.027110182387528388
QSHIP08S,OSQP,optimal,0.0696110725402832,500,2385822.358306472,2385728.9,2387,3165,32317,0,0.003929037,0.063805532,0.0,1,0.01220710101135349
QSHIP12L,OSQP,optimal,0.6812779903411865,950,3018476.2745312033,3018876.6,5427,6578,144030,0,0.027586267,0.647427682,0.0,1,0.010152870923686887
QSHIP12S,OSQP,optimal,0.40833091735839844,2550,3056972.8634257377,3056962.3,2763,3914,44705,0,0.004291918,0.392166759,0.0,3,0.0056659741467227675
QSIERRA,OSQP,optimal,2.2932610511779785,31100,23750367.183659147,23750458.0,2036,3263,9582,0,0.002117341,2.289994119,0.0,14,5.573030928916794e-06
QSTAIR,OSQP,optimal,0.39369702339172363,10875,7984222.321707349,7985452.8,467,823,6293,0,0.001164394,0.382074104,0.0,3,262.7879160651789
QSTANDAT,OSQP,optimal,0.43126702308654785,13275,6411.153879609188,6411.8384,1075,1434,5576,0,0.000713216,0.405473323,0.0,4,0.004332003104647837
S268,OSQP,optimal,0.0005886554718017578,25,0.45997679554420756,5.7310705e-07,5,10,55,0,1.7547e-05,2.8132e-05,0.0,0,0.002223201921597805
STADAT1,OSQP,solver_error,9.234126091003418,100000,-28699973.00454536,-28526864.0,2001,6000,13998,0,0.002089507,9.231056296,0.0,48,0.037458128708175366
STADAT2,OSQP,max_iter_reached,8.977882862091064,100000,-33.30712690882017,-32.626665,2001,6000,13998,0,0.00205731,8.975271526,0.0,47,0.2600984756323797
STADAT3,OSQP,max_iter_reached,18.944032907485962,100000,-37.1188837126856,-35.779453,4001,12000,27998,0,0.004363157,18.931468031,0.0,46,6.8648267741651186
STCQP1,OSQP,optimal,0.03321218490600586,50,155143.58000606278,155143.56,4097,6149,66544,0,0.011429586,0.01939871,0.0,1,6.244029199623143
STCQP2,OSQP,optimal,0.07405900955200195,75,22327.312949551848,22327.313,4097,6149,66544,0,0.021931304,0.049798868,0.0,1,12.793066851889694
TAME,OSQP,optimal,0.03398299217224121,25,0.0,0.0,2,3,8,0,1.0933e-05,2.4091e-05,0.0,0,0.00017830661232599306
UBH1,OSQP,optimal,24.76376509666443,38275,1.1160010336354786,1.1160008,18009,30009,72012,0,0.017358201,24.741720941,0.0,8,1.8229562645063323e-06
VALUES,OSQP,optimal,0.02415776252746582,150,-1.3962386407445178,-1.3966211,202,203,7846,0,0.000658593,0.022383763,0.0,1,0.7704156094279123
YAO,OSQP,solver_error,7.159367799758911,100000,8.423964337535665,197.70426,2002,4002,10004,0,0.001055922,7.141518468,0.0,3,53.82014466808286
ZECEVIC2,OSQP,optimal,0.0005509853363037109,50,-4.125178793970596,-4.125,2,4,7,0,1.1022e-05,2.8246e-05,0.0,0,0.33340390321216634
