tau,SCS-3.0,OSQP,COSMO
47.17084690917017,0.999,1.0,0.997
47.607752302263684,0.999,1.0,0.997
48.048704396551315,0.999,1.0,0.997
48.493740673352356,0.999,1.0,0.997
48.94289896114529,0.999,1.0,0.997
49.396217438783204,0.999,1.0,0.997
49.853734638738935,0.999,1.0,0.997
50.31548945038054,0.999,1.0,0.997
50.78152112327673,0.999,1.0,0.997
51.2518692705333,0.999,1.0,0.997
51.72657387216019,0.999,1.0,0.997
52.205675278469755,0.999,1.0,0.997
52.689214213506744,0.999,1.0,0.997
53.17723177850969,0.999,1.0,0.997
53.66976945540476,0.999,1.0,0.997
54.16686911033152,0.999,1.0,0.997
54.66857299720181,0.999,1.0,0.997
55.17492376129126,0.999,1.0,0.997
55.68596444286412,0.999,1.0,0.997
56.20173848083188,0.999,1.0,0.997
56.72228971644544,0.999,1.0,0.997
57.247662397021784,0.999,1.0,0.997
57.77790117970504,0.999,1.0,0.997
58.313051135262214,0.999,1.0,0.997
58.8531577519145,0.999,1.0,0.997
59.398266939203566,0.999,1.0,0.997
59.94842503189409,0.999,1.0,0.997
60.503678793912215,0.999,1.0,0.997
61.06407542232039,0.999,1.0,0.997
61.629662551329425,0.999,1.0,0.997
62.200488256347114,0.999,1.0,0.997
62.776601058065,0.999,1.0,0.998
63.35804992658251,0.999,1.0,0.998
63.9448842855694,0.999,1.0,0.998
64.53715401646701,0.999,1.0,0.998
65.13490946272803,0.999,1.0,0.998
65.73820143409586,0.999,1.0,0.999
66.34708121092348,0.999,1.0,0.999
66.96160054853219,0.999,1.0,0.999
67.5818116816111,0.999,1.0,0.999
68.20776732865686,0.999,1.0,0.999
68.83952069645497,0.999,1.0,0.999
69.47712548460237,0.999,1.0,0.999
70.12063589007181,0.999,1.0,0.999
70.77010661181889,0.999,1.0,0.999
71.42559285543126,0.999,1.0,0.999
72.08715033782136,0.999,1.0,0.999
72.7548352919623,0.999,1.0,0.999
73.42870447166761,0.999,1.0,0.999
74.1088151564157,0.999,1.0,0.999
74.79522515621821,0.999,1.0,0.999
75.48799281653436,0.999,1.0,0.999
76.18717702322995,0.999,1.0,0.999
76.8928372075831,0.999,1.0,0.999
77.6050333513357,0.999,1.0,0.999
78.32382599179196,0.999,1.0,0.999
79.04927622696424,0.999,1.0,0.999
79.78144572076624,0.999,1.0,0.999
80.52039670825474,0.999,1.0,0.999
81.26619200091946,0.999,1.0,0.999
82.01889499202203,0.999,1.0,0.999
82.77856966198476,0.999,1.0,0.999
83.54528058382867,0.999,1.0,0.999
84.31909292866256,0.999,1.0,0.999
85.10007247122246,0.999,1.0,0.999
85.88828559546249,0.999,1.0,0.999
86.68379930019779,0.999,1.0,0.999
87.4866812047991,0.999,1.0,0.999
88.29699955494087,0.999,1.0,0.999
89.11482322840202,0.999,1.0,0.999
89.94022174092044,0.999,1.0,0.999
90.77326525210228,0.999,1.0,0.999
91.61402457138516,0.999,1.0,0.999
92.46257116405738,0.999,1.0,0.999
93.31897715733238,0.999,1.0,0.999
94.18331534647952,0.999,1.0,0.999
95.05565920101196,0.999,1.0,0.999
95.93608287093141,0.999,1.0,0.999
96.82466119303123,0.999,1.0,0.999
97.72146969725725,0.999,1.0,0.999
98.6265846131282,0.999,1.0,0.999
99.54008287621524,0.999,1.0,0.999
100.46204213468131,0.999,1.0,0.999
101.39254075588153,1.0,1.0,0.999
102.3316578330245,1.0,1.0,0.999
103.27947319189515,1.0,1.0,0.999
104.23606739764011,1.0,1.0,0.999
105.20152176161591,1.0,1.0,0.999
106.17591834830002,1.0,1.0,0.999
107.15933998226711,1.0,1.0,0.999
108.15187025522881,1.0,1.0,0.999
109.1535935331391,1.0,1.0,0.999
110.16459496336569,1.0,1.0,0.999
111.1849604819271,1.0,1.0,0.999
112.21477682079802,1.0,1.0,0.999
113.25413151528114,1.0,1.0,0.999
114.30311291144787,1.0,1.0,0.999
115.36181017364785,1.0,1.0,0.999
116.43031329208767,1.0,1.0,0.999
117.50871309048075,1.0,1.0,0.999
118.59710123376694,1.0,1.0,0.999
119.69557023590428,1.0,1.0,0.999
120.8042134677329,1.0,1.0,0.999
121.92312516491107,1.0,1.0,0.999
123.05240043592616,1.0,1.0,0.999
124.19213527017834,1.0,1.0,0.999
125.34242654613995,1.0,1.0,0.999
126.50337203959037,1.0,1.0,0.999
127.67507043192657,1.0,1.0,0.999
128.8576213185518,1.0,1.0,0.999
130.05112521734085,1.0,1.0,0.999
131.25568357718427,1.0,1.0,0.999
132.47139878661176,1.0,1.0,0.999
133.69837418249466,1.0,1.0,0.999
134.93671405883066,1.0,1.0,0.999
136.18652367560813,1.0,1.0,0.999
137.44790926775366,1.0,1.0,0.999
138.7209780541621,1.0,1.0,0.999
140.00583824680976,1.0,1.0,0.999
