tau,SCS,OSQP,COSMO
9.83995229627823,0.999,1.0,0.593
9.931091813749795,0.999,1.0,0.593
10.023075482838655,0.999,1.0,0.593
10.115911122238298,0.999,1.0,0.593
10.209606623060465,0.999,1.0,0.593
10.30416994950588,0.999,1.0,0.593
10.399609139541198,0.999,1.0,0.593
10.495932305582278,0.999,1.0,0.593
10.5931476351837,0.999,1.0,0.593
10.691263391734761,0.999,1.0,0.593
10.79028791516184,0.999,1.0,0.593
10.8902296226373,0.999,1.0,0.593
10.991097009294972,0.999,1.0,0.593
11.092898648952227,0.999,1.0,0.593
11.195643194838782,0.999,1.0,0.593
11.299339380332222,0.999,1.0,0.593
11.403996019700324,0.999,1.0,0.593
11.509622008850323,0.999,1.0,0.593
11.616226326085018,0.999,1.0,0.593
11.723818032865985,0.999,1.0,0.593
11.832406274583786,0.999,1.0,0.593
11.94200028133532,0.999,1.0,0.593
12.052609368708426,0.999,1.0,0.593
12.164242938573679,0.999,1.0,0.593
12.276910479883592,0.999,1.0,0.593
12.390621569479162,0.999,1.0,0.593
12.505385872903908,0.999,1.0,0.593
12.621213145225473,0.999,1.0,0.593
12.738113231864785,0.999,1.0,0.593
12.856096069432958,0.999,1.0,0.593
12.975171686575875,0.999,1.0,0.593
13.095350204826671,0.999,1.0,0.593
13.216641839466051,0.999,1.0,0.593
13.339056900390586,0.999,1.0,0.593
13.462605792989104,0.999,1.0,0.593
13.587299019027098,0.999,1.0,0.593
13.71314717753945,0.999,1.0,0.593
13.840160965731316,0.999,1.0,0.593
13.968351179887398,0.999,1.0,0.593
14.09772871628967,1.0,1.0,0.593
14.228304572143527,1.0,1.0,0.593
14.360089846512599,1.0,1.0,0.593
14.493095741262167,1.0,1.0,0.593
14.627333562011298,1.0,1.0,0.593
14.762814719093903,1.0,1.0,0.593
14.899550728528544,1.0,1.0,0.593
15.037553212997377,1.0,1.0,0.593
15.176833902834053,1.0,1.0,0.593
15.317404637020799,1.0,1.0,0.593
15.459277364194778,1.0,1.0,0.593
15.602464143663688,1.0,1.0,0.593
15.74697714643086,1.0,1.0,0.593
15.89282865622978,1.0,1.0,0.593
16.0400310705682,1.0,1.0,0.593
16.188596901781985,1.0,1.0,0.593
16.338538778098613,1.0,1.0,0.593
16.48986944471065,1.0,1.0,0.593
16.642601764859037,1.0,1.0,0.593
16.79674872092653,1.0,1.0,0.593
16.952323415541205,1.0,1.0,0.593
17.109339072690144,1.0,1.0,0.593
17.26780903884356,1.0,1.0,0.593
17.42774678408919,1.0,1.0,0.593
17.589165903277326,1.0,1.0,0.593
17.75208011717635,1.0,1.0,0.593
17.916503273639005,1.0,1.0,0.593
18.082449348779516,1.0,1.0,0.593
18.249932448161523,1.0,1.0,0.593
18.41896680799711,1.0,1.0,0.593
18.589566796356873,1.0,1.0,0.593
18.761746914391203,1.0,1.0,0.593
18.935521797562952,1.0,1.0,0.593
19.11090621689138,1.0,1.0,0.593
19.287915080207778,1.0,1.0,0.593
19.46656343342262,1.0,1.0,0.593
19.646866461804457,1.0,1.0,0.593
19.828839491270713,1.0,1.0,0.593
20.01249798969037,1.0,1.0,0.593
20.197857568198785,1.0,1.0,0.593
20.384933982524633,1.0,1.0,0.593
20.573743134329128,1.0,1.0,0.593
20.764301072557746,1.0,1.0,0.593
20.95662399480433,1.0,1.0,0.593
21.150728248687948,1.0,1.0,0.594
21.346630333242445,1.0,1.0,0.594
21.544346900318832,1.0,1.0,0.594
21.7438947560008,1.0,1.0,0.594
21.945290862033136,1.0,1.0,0.594
22.14855233726359,1.0,1.0,0.594
22.353696459097954,1.0,1.0,0.595
22.560740664968602,1.0,1.0,0.595
22.7697025538168,1.0,1.0,0.595
22.98059988758851,1.0,1.0,0.595
23.193450592744288,1.0,1.0,0.595
23.408272761782932,1.0,1.0,0.595
23.625084654779464,1.0,1.0,0.595
23.843904700937205,1.0,1.0,0.595
24.06475150015424,1.0,1.0,0.595
24.287643824604515,1.0,1.0,0.595
24.512600620333387,1.0,1.0,0.595
24.73964100886813,1.0,1.0,0.595
24.968784288843267,1.0,1.0,0.595
25.200049937640923,1.0,1.0,0.595
25.433457613046496,1.0,1.0,0.595
25.669027154919505,1.0,1.0,0.595
25.906778586880076,1.0,1.0,0.595
26.14673211801092,1.0,1.0,0.595
26.388908144575105,1.0,1.0,0.595
26.633327251749822,1.0,1.0,0.595
26.88001021537606,1.0,1.0,0.595
27.128978003724658,1.0,1.0,0.595
27.380251779278577,1.0,1.0,0.595
27.6338529005317,1.0,1.0,0.595
27.88980292380441,1.0,1.0,0.595
28.1481236050758,1.0,1.0,0.595
28.408836901833027,1.0,1.0,0.596
28.671964974937698,1.0,1.0,0.596
28.937530190509502,1.0,1.0,0.596
29.205555121827466,1.0,1.0,0.596
29.47606255124857,1.0,1.0,0.596
29.749075472144405,1.0,1.0,0.596
30.024617090855493,1.0,1.0,0.596
30.30271082866396,1.0,1.0,0.596
30.583380323784333,1.0,1.0,0.596
30.86664943337273,1.0,1.0,0.596
31.15254223555488,1.0,1.0,0.596
31.441083031472647,1.0,1.0,0.596
31.732296347349763,1.0,1.0,0.596
32.02620693657652,1.0,1.0,0.596
32.32283978181379,1.0,1.0,0.596
32.622220097116696,1.0,1.0,0.596
32.924373330077685,1.0,1.0,0.596
33.229325163989714,1.0,1.0,0.596
33.5371015200293,1.0,1.0,0.596
33.84772855945981,1.0,1.0,0.596
34.16123268585528,1.0,1.0,0.597
34.47764054734464,1.0,1.0,0.597
