tau,SCS,OSQP,COSMO
3.503842245290674,0.999,0.839,0.073
3.536295501355042,0.999,0.84,0.073
3.5690493456752295,0.999,0.841,0.074
3.602106562357071,0.999,0.846,0.075
3.6354699612933197,0.999,0.848,0.075
3.6691423784024932,0.999,0.85,0.075
3.703126675869926,0.999,0.85,0.076
3.737425742391064,0.999,0.851,0.077
3.7720424934169983,0.999,0.851,0.077
3.806979871402286,0.999,0.855,0.08
3.84224084605506,0.999,0.857,0.083
3.877828414589456,0.999,0.858,0.083
3.913745601980384,0.999,0.859,0.083
3.949995461220644,0.999,0.859,0.084
3.986581073580441,0.999,0.862,0.086
4.023505548869292,0.999,0.863,0.089
4.060772025700365,0.999,0.865,0.09
4.0983836717572615,0.999,0.865,0.091
4.136343684063275,0.999,0.865,0.091
4.174655289253137,0.999,0.865,0.092
4.213321743847288,0.999,0.868,0.092
4.252346334528682,0.999,0.872,0.093
4.291732378422157,0.999,0.873,0.098
4.3314832233764,0.999,0.873,0.1
4.371602248248505,0.999,0.873,0.101
4.412092863191189,0.999,0.873,0.102
4.452958509942655,0.999,0.873,0.104
4.494202662119142,0.999,0.873,0.108
4.535828825510188,0.999,0.873,0.11
4.577840538376619,0.999,0.874,0.113
4.6202413717513116,0.999,0.876,0.116
4.663034929742731,0.999,0.879,0.118
4.7062248498412815,0.999,0.879,0.119
4.749814803228501,0.999,0.879,0.121
4.79380849508911,0.999,0.879,0.122
4.838209664925956,0.999,0.881,0.127
4.8830220868778795,0.999,0.881,0.129
4.9282495700405144,0.999,0.881,0.132
4.973895958790064,0.999,0.881,0.134
5.019965133110082,0.999,0.884,0.137
5.066461008921268,0.999,0.886,0.14
5.113387538414326,0.999,0.888,0.141
5.160748710385909,0.999,0.889,0.143
5.208548550577661,0.999,0.889,0.148
5.256791122018422,0.999,0.89,0.151
5.305480525369573,0.999,0.892,0.153
5.354620899273607,0.999,0.893,0.16
5.404216420705916,0.999,0.894,0.161
5.454271305329834,0.999,0.896,0.165
5.50478980785497,0.999,0.898,0.167
5.555776222398876,0.999,0.898,0.17
5.607234882852032,0.999,0.899,0.171
5.659170163246244,0.999,0.9,0.174
5.711586478126432,0.999,0.901,0.179
5.764488282925877,0.999,0.902,0.182
5.8178800743449335,0.999,0.902,0.187
5.871766390733256,0.999,0.903,0.188
5.926151812475554,0.999,0.904,0.195
5.981040962380941,0.999,0.904,0.197
6.036438506075867,0.999,0.905,0.198
6.09234915240071,0.999,0.907,0.199
6.148777653810023,0.999,0.907,0.203
6.205728806776502,0.999,0.907,0.213
6.26320745219869,0.999,0.909,0.221
6.321218475812452,0.999,0.91,0.226
6.379766808606281,0.999,0.91,0.233
6.4388574272404195,0.999,0.912,0.237
6.49849535446989,0.999,0.914,0.242
6.558685659571432,0.999,0.917,0.25
6.619433458774393,0.999,0.918,0.254
6.680743915695613,0.999,0.921,0.259
6.742622241778342,0.999,0.921,0.261
6.805073696735208,0.999,0.922,0.265
6.868103588995304,0.999,0.923,0.268
6.931717276155406,0.999,0.923,0.274
6.995920165435373,0.999,0.926,0.281
7.060717714137773,0.999,0.927,0.285
7.1261154301117475,0.999,0.927,0.291
7.192118872221189,0.999,0.929,0.295
7.258733650817251,0.999,0.93,0.301
7.3259654282152304,0.999,0.93,0.307
7.393819919175866,0.999,0.931,0.312
7.46230289139111,0.999,0.932,0.318
7.531420165974372,0.999,0.933,0.32
7.6011776179553285,0.999,0.934,0.328
7.671581176779302,0.999,0.934,0.334
7.742636826811269,0.999,0.935,0.34
7.814350607844544,0.999,0.936,0.344
7.886728615614152,0.999,0.938,0.355
7.959777002314984,0.999,0.94,0.362
8.033501977124734,0.999,0.94,0.368
8.107909806731687,0.999,0.941,0.377
8.183006815867392,0.999,0.942,0.387
8.258799387844268,0.999,0.943,0.391
8.335293965098193,0.999,0.945,0.396
8.412497049736118,0.999,0.945,0.402
8.490415204088746,0.999,0.946,0.408
8.56905505126835,0.999,0.948,0.415
8.648423275731723,0.999,0.948,0.419
8.728526623848378,0.999,0.949,0.43
8.809371904473991,0.999,0.949,0.437
8.89096598952916,0.999,0.949,0.445
8.973315814583522,0.999,0.95,0.456
9.05642837944529,0.999,0.952,0.466
9.14031074875623,0.999,0.952,0.471
9.224970052592175,0.999,0.955,0.481
9.310413487069077,0.999,0.957,0.488
9.396648314954692,0.999,0.96,0.495
9.483681866285922,0.999,0.96,0.502
9.571521538991863,0.999,0.962,0.513
9.660174799522645,0.999,0.964,0.529
9.749649183484088,0.999,0.965,0.545
9.83995229627823,0.999,0.966,0.554
9.931091813749795,0.999,0.966,0.566
10.023075482838655,0.999,0.967,0.577
10.115911122238298,0.999,0.967,0.586
10.209606623060465,0.999,0.969,0.597
10.30416994950588,0.999,0.973,0.604
10.399609139541198,0.999,0.973,0.61
10.495932305582278,0.999,0.973,0.619
10.5931476351837,0.999,0.974,0.628
10.691263391734761,0.999,0.974,0.638
10.79028791516184,0.999,0.974,0.642
10.8902296226373,0.999,0.974,0.654
10.991097009294972,0.999,0.974,0.664
11.092898648952227,0.999,0.975,0.672
11.195643194838782,0.999,0.975,0.68
11.299339380332222,0.999,0.975,0.685
11.403996019700324,0.999,0.975,0.691
11.509622008850323,0.999,0.975,0.701
11.616226326085018,0.999,0.975,0.714
11.723818032865985,0.999,0.975,0.721
11.832406274583786,0.999,0.976,0.729
11.94200028133532,0.999,0.976,0.737
12.052609368708426,0.999,0.976,0.748
12.164242938573679,0.999,0.978,0.757
12.276910479883592,0.999,0.979,0.766
12.390621569479162,0.999,0.979,0.775
12.505385872903908,0.999,0.979,0.788
12.621213145225473,0.999,0.981,0.797
12.738113231864785,0.999,0.981,0.801
12.856096069432958,0.999,0.981,0.808
12.975171686575875,0.999,0.982,0.815
13.095350204826671,0.999,0.982,0.824
13.216641839466051,0.999,0.982,0.826
13.339056900390586,0.999,0.982,0.835
13.462605792989104,0.999,0.982,0.84
13.587299019027098,1.0,0.982,0.846
13.71314717753945,1.0,0.982,0.853
13.840160965731316,1.0,0.982,0.862
13.968351179887398,1.0,0.982,0.867
14.09772871628967,1.0,0.982,0.877
14.228304572143527,1.0,0.982,0.878
14.360089846512599,1.0,0.983,0.886
